x,y,labels,doc_top,topic
1.4428906,12.66574,3,37,8
-0.23784174,7.771431,73,24,4
0.29909527,5.4247026,82,62,2
0.2082774,11.672698,18,31,6
0.8729318,11.84654,41,3,6
2.9446168,8.395596,68,78,0
0.3924801,10.280977,20,50,7
2.6011226,9.547905,99,69,5
2.0816731,6.2071543,46,38,5
3.0720003,3.5035896,75,35,1
0.44414344,10.201323,20,50,7
-0.56803346,10.943515,35,22,7
2.4346976,5.9699783,46,1,3
-1.1587284,10.387104,36,17,7
-0.024002291,10.528249,31,97,8
3.6132467,3.3555503,54,18,1
-0.018898888,10.729475,31,45,7
-2.720953,6.2692356,10,2,9
0.24249615,8.689426,90,36,5
1.1078917,8.568543,86,44,0
-0.24038358,10.558062,31,97,8
-0.80753964,10.508499,36,56,7
3.838506,5.997733,46,54,2
0.86370474,10.547512,26,51,0
-0.40131444,9.353271,20,105,2
-1.2782543,10.369905,36,17,7
-2.6610441,5.749277,10,2,9
-2.4485316,5.877493,10,2,9
-2.727901,6.391536,10,2,9
1.1807286,10.679103,26,65,0
-2.566718,8.092833,2,66,5
-1.8802271,10.230316,34,33,8
-1.8534877,10.21405,34,33,8
-0.3669563,9.342875,20,105,2
3.6805565,4.1192756,62,40,1
2.839462,5.917396,46,55,3
3.385513,9.822119,102,0,0
-0.4711705,6.545406,89,74,4
-3.042197,6.4351683,10,2,9
-2.1378305,8.712632,12,93,4
-1.4014112,11.096244,33,29,8
2.585889,11.995418,38,8,6
-0.3711462,5.256093,66,92,2
0.14968215,8.139106,91,40,1
1.2085136,10.66805,26,65,0
-0.31231904,7.7503734,73,24,4
3.329584,5.6173,46,1,3
-0.8574414,6.8300815,89,77,0
-0.3848379,12.359758,13,19,0
-2.7253134,5.4377656,10,44,0
-0.48374182,6.527622,89,10,4
2.0414634,7.6406603,43,33,8
2.114541,7.558886,43,13,5
-2.8321552,6.407091,10,36,5
-0.22643495,7.8403077,73,99,4
-1.8118821,10.112829,34,33,8
-0.23914573,7.9614525,73,24,4
0.74264956,6.716978,85,1,3
1.1796334,4.9672995,69,14,2
2.3528306,7.448286,43,13,5
-0.3481772,12.365155,13,19,0
-0.13341,7.1890774,72,85,4
2.650512,6.125831,46,1,3
2.0387523,11.405014,41,3,6
-0.08972135,7.29583,73,85,4
3.9072046,9.033089,37,0,0
-3.0063927,6.3918934,10,2,9
1.2310864,6.883764,92,41,2
-1.4631324,8.606402,29,15,4
-2.805545,6.774511,9,2,9
4.004577,7.0575237,15,7,3
-2.4317555,6.0287013,10,2,9
-1.3412167,10.876488,33,29,8
-2.4795156,6.0237565,10,2,9
3.0582876,5.8047433,46,1,3
-2.683039,5.7451153,10,2,9
4.548975,4.7061915,57,9,1
2.2048578,6.1337686,46,1,3
-2.7032168,5.5807953,10,2,9
-2.602021,5.782001,10,2,9
1.152636,6.2393293,93,4,2
-0.27303475,7.9928627,73,24,4
0.064774334,8.27446,91,55,3
1.6994413,3.8827515,17,80,1
-2.9481761,6.2960587,10,2,9
-1.3268918,10.360954,36,17,7
3.0844204,7.9589663,64,13,5
-0.30922368,8.51164,50,79,5
-0.4547942,10.924118,35,22,7
5.942693,7.7156596,4,42,5
-2.6361418,5.7793994,10,2,9
2.1543798,5.4478197,45,47,5
2.1457224,6.0747485,46,1,3
1.848194,11.6554575,41,3,6
-0.14572006,4.7594924,70,4,2
0.34644344,5.587025,82,54,2
1.369358,11.924946,41,3,6
4.1772265,7.310986,15,7,3
-0.14617847,4.7588906,70,16,2
-2.7771776,5.475554,10,2,9
2.2880979,9.025117,96,44,0
2.2618387,7.5189576,43,13,5
0.5247303,8.135255,86,37,8
3.2239773,9.734737,102,12,0
2.307306,6.190531,46,1,3
0.13846065,8.710445,90,36,5
2.0069587,4.864941,30,57,1
-0.9108595,6.617453,89,10,4
2.9865458,4.508506,77,20,1
-2.5773997,8.042904,2,66,5
3.7498868,9.621568,102,0,0
-1.4762012,5.9576364,5,46,5
-2.7118928,6.138977,10,2,9
3.495272,9.422469,102,0,0
2.1899147,6.0630417,46,1,3
-1.8173059,10.201174,34,33,8
-2.5864277,7.966164,2,66,5
1.7602239,3.775214,17,80,1
-2.1368926,8.691216,12,93,4
0.79531723,8.079813,86,40,1
-0.30051088,8.700621,50,36,5
-2.8183556,6.859621,9,2,9
-0.18055427,4.7014456,70,16,2
2.2589996,4.9151087,30,67,1
2.9624639,5.0462084,65,1,3
3.7588017,9.869531,102,0,0
1.2412869,7.793002,55,63,5
0.2755649,6.522226,44,45,7
0.89748204,4.7779856,69,62,2
1.3010385,6.8338995,92,41,2
2.6576502,5.7699265,46,1,3
0.36531594,8.570468,90,94,5
0.18548346,8.653037,90,36,5
-0.34374523,7.038894,72,82,4
1.1374507,6.208491,93,4,2
0.37605035,10.256426,20,50,7
-0.20577854,9.49503,20,49,2
1.0992916,5.3496656,83,14,2
-2.0936341,6.2830043,10,88,4
0.58976376,8.543548,90,36,5
1.8888211,10.245482,79,38,5
-2.8885412,6.345475,10,2,9
2.5785396,7.4752526,43,13,5
1.4816508,11.954692,41,8,6
-0.39681542,7.303444,72,100,4
-2.519767,5.8011374,10,2,9
0.977115,6.282798,93,4,2
0.6186168,10.871597,31,97,8
1.0707488,6.522469,93,47,5
3.0961318,6.2879024,40,55,3
-2.4749947,5.75441,10,2,9
0.8560272,10.52428,26,79,5
3.6888716,3.4410324,54,18,1
0.024375366,8.3673525,91,87,5
-2.5417063,5.8439965,10,2,9
3.155184,3.6481473,75,28,1
-0.78000706,7.669988,94,71,4
0.22010298,8.739011,90,94,5
-3.0152564,6.3550615,10,2,9
4.2261915,7.519159,15,7,3
2.0440056,7.583522,43,99,4
0.58193827,12.810192,6,101,6
0.53938526,4.869774,84,54,2
1.4909817,11.783046,41,3,6
1.5693308,13.095091,3,76,7
-2.609043,6.2294855,10,2,9
-1.2608787,10.842804,33,29,8
3.5047276,9.80228,102,12,0
0.22520818,9.925372,20,66,5
-2.7070503,6.157199,10,2,9
2.1509469,3.3648968,52,32,1
3.0742035,6.5668745,40,55,3
2.0874135,5.67575,45,61,1
0.2755216,9.700105,20,27,7
-0.7966306,9.17666,47,37,8
-0.19725882,10.507115,31,97,8
-1.888837,10.215287,34,33,8
-0.7926603,10.241793,36,53,7
1.1742852,6.5954585,92,4,2
1.1497917,12.312927,42,64,6
-3.080204,6.3966703,10,2,9
2.0098505,3.1923668,52,32,1
0.33555883,8.261091,90,40,1
1.2976365,6.8616877,92,41,2
0.8701686,10.539017,26,65,0
2.432169,9.038948,96,44,0
0.20835957,5.456424,82,62,2
-2.6166592,5.9710073,10,2,9
-0.57271355,12.244747,13,19,0
3.8817391,9.390431,102,0,0
-0.84279585,6.9441776,89,10,4
0.12251391,6.662424,44,10,4
-3.0184367,6.178907,10,55,3
0.31950733,5.4625096,82,62,2
3.756082,3.4743657,54,18,1
