Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha
Femenino,25,Internacional,Muy bueno,4,20,"""Diego was Talented at Portraiture""","""Interesting small museum. The downstairs is the house that he was born in, complete with turn-of-the century decor and furnishings. Upstairs there are galleries of his mostly early career paintings. Many impressionism, post-impressionism, and cubist works. I found the portraits most compelling.""",Estados Unidos,Inglés,PC,22/5/2016
Femenino,27,Internacional,Muy bueno,4,91,"""Hermoso museo""","""Ubicado en la zona turística la casa donde el famoso pintor vivió una etapa de su infancia , cuenta con réplicas de los muebles que en su época estuvieron acomodados en cada habitación, pinturas originales , una de las más destacadas la que realizó a los 11 años que fue la que lo colocó con los grandes maestros en Europa, vale la pena realizar un recorrido con guía.""",Argentina,Español,Móvil,21/5/2016
Femenino,25,Nacional,Muy bueno,4,22,"""Visita diver-cultural... :)""","""La exposición de obras de Diego Rivera es muy buena, que es el atractivo principal del museo... sin embargo las exposiciones temporales de otros artistas en las salas contiguas también son una buena opción…""",México,Español,PC,20/5/2016
Masculino,34,Internacional,Excelente,5,306,"""A great place to pay homage to the great painter and celebrated son of Guanajuato""","""Diego Rivera was born in Guanajuato and his family decided in late 20th century to turn it into a museum. There are not too many paintings of Rivera himself (most are in Mexico City), but there r are always visiting exhibitions by famous Mexican contemporary painters. What you did get is a glimpse of how Rivera family lived in comfortable surroundings in 19th century, and the museum is full of period furniture.The interesting thing is that the museum was almost empty, whilst you cannot enter into his equally celebrated spouse´s (Frida Kahlo) museum in Mexico City without queuing up to four hours.It is not just her fabulous paintings but also the memorable role by Selma Hayek in the movie which made her an even greater icon.""",Colombia,Inglés,PC,19/5/2016
Masculino,60,Internacional,Muy bueno,4,221,"""Deeper insight into the artist plus other high quality art on display""","""If you are interested in the man and his historical relationship with Mexico and the Communist movement, this is a must see. His early work and description of his upbringing will help you to understand his education and talents. The lower floors are furnished in a manner that was very much the way he lived during his brief stay here. You will need to climb 3 flights of stairs to see it all, but the upper floors have rotating exhibitions of very fine artists and is worth the effort. The museum shows his early work along with many sketches dealing with communist and cubist influences.""",Estados Unidos,Inglés,PC,18/5/2016
Masculino,36,Internacional,Excelente,5,8,"""Great mixture of historic and contemporary Mexican Art""","""With a new section they just added, this museum offers a full spectrum of art from the life and works of iconic Mexican painter Diego Rivera to the works of contemporary Mexican artists. Two of the spaces have rotating exhibitions.""",Canadá,Inglés,PC,17/5/2016
Masculino,32,Nacional,Excelente,5,112,"""Hidden gem!""","""This museum is walking distance from the city center and it's a real hidden gem, 3 floors full of art of one of Mexico's most important artist. The collection is owned by Diego's grand daughter and I highly recommend visiting, price is really cheap.""",México,Inglés,Móvil,16/5/2016
Masculino,30,Internacional,Regular,3,21,"""Nothing special for me""","""Didn’t know too much about Diego going in, I’ve seen the Frida movie and seen his face on the 500 peso note and that’s all I know. It was a cute little art gallery/museum. It could have had a bit more about Diego himself so people like myself could learn more about the man. It also had parts with art work from other artists but no explanations of who they were in English, but that’s my fault for not knowing Spanish. Anyway mate if you have some time to spare I guess it’s a nice little thing to do but I wouldn’t go out of your way unless you’re a big Diego fan.""",Estados Unidos,Inglés,Móvil,15/5/2016
Femenino,63,Internacional,Muy bueno,4,39,"""Me hice más consciente de Diego Rivera."" ","""Desde el precio accesible de 25 pesos para ver o saber que solamente entre famosos murales del esposo de Rivera, Frida Kahlo. Yo sólo pensé en ver la misma figura cómica de Diego Rivera. El trabajo de Rivera no es mucho incluso había visto fotos de otros artistas. La descripción esta bien en inglés.""",Corea del Sur,Coreano,Móvil,14/5/2016
Masculino,52,Nacional,Excelente,5,10,"""Exposición temporal""","""Es un excelente museo con las cosas donde nació Diego Rivera, es una sección del museo, las otras son exposiciones temporales muy bien distribuidas y diseñadas en su museografía. Vale la pena visitarlo cuenta con talleres infantiles y una librería.""",México,Español,Móvil,13/5/2016
Masculino,22,Internacional,Excelente,5,76,"""We love Diego Rivera so we loved this place""","""Small, most of the art is from when he was young, but you get to see the whole house so it gives a sense of middle class life in Guanajuanto. Assuming you share our art tases, a must see.""",Estados Unidos,Inglés,PC,12/5/2016
Masculino,75,Internacional,Excelente,5,271,"""Some great art by Jose Parra and others""","""This is not a museum with Rivera art. It was his boyhood home and that is interesting. But there's a lot of great art on the walls. Also there is a audio/visual guide to one of Riveras famous murals (which is not in the house) that I really enjoyed.""",Nicaragua,Inglés,PC,11/5/2016
Masculino,35,Nacional,Excelente,5,38,"""Cultura a la carta""","""Entrar a la casa Diego Rivera es transportarse en el tiempo, es imaginar escenas, crear momentos en la mente, ver a Diego en cada rincón, es llenarte de la cultura misma de grandes pintores, cada pasillo te conduce a una nueva sorpresa, cada recamara a un mundo que te hará ver la vida desde otra perspectiva, altamente recomendable para quien gusta del dibujo, la pintura y el muralismo, cuando viajes a Guanajuato desvíate unas cuadras y camina por la calle Positos entre la Universidad y la Alhondiga encontrarás esta bella casa restaurada donde además del costo accesible, veras trabajos de grandes artistas y saldrás con un grato sabor de vista.""",México,Español,PC,10/5/2016
Femenino,53,Internacional,Excelente,5,138,"""Not a must visit site, but a quick stop to learn about Diego!""","""We ate lunch at San Angel Inn which is next door, so we decided to stop here afterward. It was a Saturday afternoon, and there was about a 5 minute wait to enter Diego’s home. Admission was 35 pesos per person. We spent about 45 minutes touring the homes of Diego Rivera, Frida Kahlo, and Juan O’Gormon. The complex doesn’t have much of Diego’s famous artwork on display. There are some small figurines and paper mache pieces on display in his studio. When we visited, there was an exhibit about Diego’s involvement in the USSR and included his photos and sketches from his visit with the Soviets. I thought it was interesting history. Note, most information is in Spanish, but there are a few English signs summarizing the history. I wouldn’t go out of my way to visit this place, but if you are in the area, definitely stop by!""",Estados Unidos,Inglés,Móvil,9/5/2016
Femenino,57,Nacional,Pésimo,1,8,"""La chica de recepción""","""Llegamos 15 minutos antes de cerrar. Y la chica de la entrada muy grosera, no nos permitió entrar diciendo que ella sale a las 2:30. Pésimo servicio.""",México,Español,Móvil,8/5/2016
Masculino,64,Internacional,Regular,3,236,"""Not bad, but not very memorable""","""As with most museums in Mexico, the cost of admission is very affordable. So I will not complain that I did not get my money's worth. But I did not get much out of this experience. If I hadn't seen Rivera murals in a number of locations in Mexico City, visited Frida's Casa Azul and seen the movie Frida, I am not sure I would have come out of this museum with an appreciation or understanding of Rivera's work. 
Maybe our mistake was that we did not have a Spanish guide to help us interpret what we were seeing, But, in general, the focus seemed to be more on a historic house than on Rivera's life and work.
By all means if you are walking by, drop in (it will take less than an hour). But there are much better attractions in Guanajuato (actually the city itself is a beautiful work of art) including the Alhondiga de Granaditas. Then, in CDMX, visit the National Palace, Palacio de Bellas Artes and Casa Azul for more RIvera.""",Canadá,Inglés,PC,7/5/2016
Femenino,26,Nacional,Excelente,5,13,"""Muy interesante la historia y la Expo temporal""","""Me sorprendió la historia de esta casa ya que son datos que en lo personal desconocía sobre Diego rivera, hay varios bocetos originales de el. En lo personal lo que más me gusto fue la exposición temporal que tenían de José Parra (pintor de las fotografías)""",México,Español,Móvil,6/5/2016
Femenino,44,Nacional,Excelente,5,47,"""Worth it!!""","""If you’re lucky enough, you’ll get to hear a lot of history from one of the guides. You get to see some obscure work by Rivera and a taste of how the house looked like when he was born. There’s also another exhibit hall with works by other famous painters. Photos are not allowed.""",México,Inglés,Móvil,5/5/2016
Femenino,37,Nacional,Malo,2,117,"""Cerrado el 19 de Marzo""","""Otra visita a este lugar y cerrado, por el 19 marzo lunes, por el puente del 21 de marzo. Turistas no importan. Muy mal.""",México,Español,Móvil,4/5/2016
Masculino,69,Internacional,Regular,3,51,"""Tour of his home""","""Not what I expected as there is very little of his art on display here and you cannot take pictures of the better examples. I found it a bit boring, to be honest.""",Canadá,Inglés,PC,3/5/2016
Femenino,28,Internacional,Excelente,5,15,"""¡Obligatorio!""","""Hermoso lugar adaptado a la modernidad pero sin dejar atrás su historia y su hermosa casona, el museo tiene 3 apartados, en la planta baja es una sala en la que se presentan obras de diversos artistas, se muestran artículos originales que pertenecieron a la familia del famoso muralista y lo mas importante la presentación de sus obras originales como bocetos y más. Definitivamente tienen que visitarla.""",Chile,Español,PC,2/5/2016
Femenino,62,Internacional,Malo,2,55,"""Disappointing""","""We went expecting to see a comprehensive selection of Rivera's work. It was primarily sketches and work from his formative years, but not of his nature works for which he is famous.""",Estados Unidos,Inglés,Móvil,1/5/2016
