Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha
Masculino,38,Nacional,Excelente,5,14,"""Hermosa vista de la ciudad""","""Hermosa vista de la ciudad y bonito paseo en el funicular. Seguro para viajar en familia y además de contar con diversos antojitos mexicanos en la parte superior.""",México,Español,Móvil,19/7/2018
Masculino,37,Internacional,Excelente,5,642,"""Magical view of the city""","""The view is an easy 5 stars. You will see many colorful houses and brightly painted buildings below. Also, great views of the historical town center. Not to be missed.""",Canadá,Inglés,Móvil,18/7/2018
Femenino,27,Internacional,Excelente,5,16,"""¡No te lo pierdas!""","""¡Nos gusta mucho! Aquí verás increíbles vistas de la ciudad. Asegúrese de venir aquí para tomar una foto. Hay varios restaurantes de comida rápida y tiendas de recuerdos aquí. Llegamos a esta atracción en teleférico (verá otra gran vista en el teleférico). Cuando bajamos de la montaña, tomamos un taxi porque el viaje estaba bastante lejos.""",Singapur,Chino,PC,14/7/2018
Femenino,19,Nacional,Excelente,5,31,"""MONUMENTO Y VISTA PANORÁMICA""","""Una visita a este lugar te hará deleitar la pupila con la vista panorámica del viejo y hermoso Guanajuato puedes observar todo el centro histórico además puedes ingresar y subir hasta la punta del Monumento al Pípila para incrementar la experiencia, por comida no te preocupes encontrarás una gran variedad de puestos con antojitos mexicanos y muchas tiendas de souvenirs.""",México,Español,PC,14/7/2018
Femenino,20,Internacional,Excelente,5,16,"""Cannot miss!""","""We loved it! You get an unbelievable view of the city from up there. You cannot miss this photo op. There are several snack stands and souvenir shops at the top. We reached this destination by taking the funicular (another great view). We took a taxi down since it was quite a walk.""",Estados Unidos,Inglés,Móvil,14/07/2018
Masculino,27,Internacional,Excelente,5,294,"""Fantastic view of Guanajuato""","""If you're in Guanajuato, you can't skip this place. You get this amazing view of the entire city, with its colorful homes, mountains and sky. There's also a statue of one the historical heroes of Mexico, which can be seen from most places in Guanajuato.""", Costa Rica,Inglés,PC,13/07/2018
Masculino,39,Nacional,Excelente,5,9,"""Monumento con historia""","""Es un lugar muy tradicional que no puedes dejar de visitarlo, ya que es parte de la historia de Guanajuato y de todo México.""",México,Español,PC,9/7/2018
Masculino,25,Nacional,Excelente,5,5,"""El mejor mirador""","""Es el mejor mirador de Guanajuato ahí disfrutas de rica gastronomía y lugares para conocer lo típico. La vista hermosa de toda la ciudad.""",México,Español,Móvil,9/7/2018
Masculino,43,Internacional,Excelente,5,57,"""La mejor vista de Guanajuato""","""Muy bonita vista de Guanajuato. Hay mucha vida ahi, esta muy fácil llegar, puedes comprar souvenir y algo de comida tambien.""",Nueva Zelanda,Español,PC,4/7/2018
Femenino,,Internacional,Excelente,5,88,"""Sitio de visita obligatorio""","""Símbolo de la ciudad para tomar buenas fotos. Aunque el día que lo visitamos estaba lloviendo igual valió la pena.""",Costa Rica,Español,PC,26/6/2018
Femenino,30,Internacional,Muy bueno,4,24,"""Interesante""","""Toda la historia de México y el extenso de Guanajuato en particular.""",Francia,Francés,PC,24/6/2018
Femenino,20,Internacional,Excelente,5,5,"""¡Excelente vista a la ciudad!""","""¡Fui a visitar el monumento de Pípila y quede fascinada! Tiene una vista increíble de la ciudad. Hay dos maneras de subir, caminando (qué te llevaría mucho más tiempo) o subiendo desde un carrito que te cobran $50 pesos la ida y vuelta. Realmente vale la pena.""",Guatemala,Español,Móvil,22/6/2018
Masculino,36,Internacional,Excelente,5,276,"""Importancia histórica""","""Visita obligada para visitar uno de los episodios importantes de la independencia de México. El joven valiente que permitió la toma de la Alhóndiga de Granaditas.""",Perú,Español,Móvil,19/6/2018
Masculino,30,Internacional,Excelente,5,61,"""Hermosa vista""","""Otra parada obligatoria en la visita a la ciudad de Guanajuato, desde aquí se aprecia la ciudad y los lugares más característicos de la ciudad.""",Costa Rica,Español,PC,19/6/2018
Femenino,28,Internacional,Excelente,5,9,"""Representante de la historia de Mexico""","""Conociendo la historia de Juan José de los Reyes Martínez, conocido como El Pípila, famoso personaje que ayudo a para el inicio de la libertad de México. La increíble vista a la ciudad de Guanajuato desde este punto es excepcional.""",Estados Unidos,Español,PC,18/6/2018
Masculino,50,Internacional,Pésimo,1,1037,"""Horrible""","""Significados históricos aparte, este monumento es un desperdicio de dinero, pues está hecho de doler. No vaya, no pierde nada.""",Brasil,Portugués,PC,14/6/2018
Masculino,56,Internacional,Excelente,5,324,"""Famoso""","""Un escenario famoso en todo el mundo. Me impresionó que el paisaje se abriera gradualmente mientras subía por el teleférico. La próxima vez me gustaría ver la vista nocturna.""",Japón,Japonés,Móvil,14/6/2018
Masculino,48,Internacional,Muy bueno,4,261,"""Cuando digo Guanajuato""","""Aquí está. Es un lugar turístico que ha venido muchas veces. Hoy subí con un teleférico por primera vez. Es un buen lugar para ver la ciudad de Guanajuato.""",Japón,Japonés,Móvil,10/6/2018
Femenino,33,Internacional,Muy bueno,4,29,"""Disfruta el paisaje aquí""","""Creo que a muchos locales no les gusta la enorme estatua del Pípila aquí, ¡pero el paisaje aquí es realmente bueno! ¡Guanajuato es una ciudad hermosa! Tomamos un taxi y seguimos el camino para explorar esta ciudad histórica.""",Estados Unidos,Chino,PC,1/6/2018
Femenino,28,Internacional,Muy bueno,4,29,"""Enjoy the View""","""I don't think too many folks appreciate the giant statue of Pipila, but the view here is exceptional! Guanajuato is such a beautiful city! We took a taxi to the site and walked down through the alleyways of the historic city.""",Estados Unidos,Inglés,PC,1/6/2018
Masculino,53,Internacional,Excelente,5,108,"""Best view of the city""","""The history is important, but most go for a picture of the city below and on the opposite hill. Easy to get there and worth a stop.""",Estados Unidos,Inglés,Móvil,29/05/2018
Femenino,27,Nacional,Excelente,5,45,"""La vista mas espectacular de la ciudad""","""Subir al monumento de El Pípila es toda una experiencia, desde el corto trayecto del funicular panorámico en que se van viendo desde lo alto las vistas más hermosas del Jardín de la Unión hasta llegar al mirador y caminarlo eligiendo el mejor sitio para 'la foto del recuerdo' con la ciudad a sus pies luciendo su magnífica arquitectura. Es un imperdible.""",México,Español,PC,28/5/2018
Femenino,56,Internacional,Regular,3,16,"""Bueno""","""El viaje con el funicular es genial, el monumento en sí no es bello. La vista de la ciudad es espectacular.""",Holanda,Neerlandés,Móvil,22/5/2018
Masculino,64,Internacional,Excelente,5,2,"""Beautiful""","""All city is amaizing no matter where you go, you found amaizing places. El callejon del beso, all the churches have there own history.""",Estados Unidos,Inglés,PC,21/05/2018
Masculino,25,Nacional,Excelente,5,8,"""¡Espectacular!""","""Simplemente tienes que ir. La mejor vista de Guanajuato la tienes aquí. Si viste la película COCO y te gustó, seguro te identificarás con este lugar.""",México,Español,Móvil,11/5/2018
Femenino,33,Nacional,Excelente,5,15,"""Hermoso""","""Da una hermosa vista , está muy bonito el lugar ya que puedes comprar muchas cosas aparte su vista es impresionante.""",México,Español,Móvil,11/5/2018
Femenino,31,Internacional,Excelente,5,543,"""Take the funicular...unrivaled view awaits!""","""The ticket office is located just behind Teatro Juarez, the window located either inside or outside for $3 purchase. Board the funicular and ascend to the cliff in a journey that takes about five minutes. The view is stunning – there are vendors at the top for your shopping and eating pleasure. You’ll need to buy another ticket at the top for your return. The statue is enormous and his story is compelling. This is a must see site in Guanajuato!""",Estados Unidos,Inglés,Móvil,07/05/2018
Masculino,33,Internacional,Excelente,5,14,"""Mejor vista de la ciudad""","""Es el lugar perfecto para ver el atardecer de la ciudad. Puedes subir en coche, caminando o por el funicular dependiendo de tus gustos, presupuesto y el tiempo que le quieras dedicar a la visita. Hay algunos restaurantes y tiendas pero son caros. Vale la pena esperar para ver la ciudad de noche para después bajar a una callejoneada al centro.""",Canadá,Español,PC,6/5/2018
Femenino,57,Internacional,Excelente,5,51,"""Vale la pena ir""","""Al subir la colina con guía unos 30 minutos antes y después de la puesta de sol, se verá una imagen muy hermosa de que la luz de la ciudad se oscurecerá gradualmente y la luz de la ciudad seguirá. Guanajuato es pequeño y está lleno de hospitalidad, así que quédate por todos los medios.""",Japón,Japonés,Móvil,1/5/2018
Masculino,48,Internacional,Excelente,5,5,"""Great view of Guanajuato""","""The hike up and back was fun. Recommend doing this at sunset. We didn't take the funicular but that's a good way to get up and then hike down.""",Estados Unidos,Inglés,Móvil,30/04/2018
Femenino,39,Internacional,Excelente,5,153,"""Best view ever""","""Guanajuato is one of my favorite cities. The city has color and life. No evening was ever boring. And the view from the Monumento al Pipila was just the best. Just sitting and looking down the city was so relaxing. Go around evening and stay there till it gets dark.""",Francia,Inglés,PC,29/04/2018
Masculino,45,Internacional,Excelente,5,32,"""Vista espectacular""","""La vista de la ciudad que ofrece este pintoresco lugar tienes que vivirla, sin duda la foto no podrá faltar para nunca olvidar a la bella ciudad de Guanajuato.""",Argentina,Español,PC,27/4/2018
Femenino,50,Internacional,Muy bueno,4,586,"""¡El mejor escenario en la cima de la montaña!""","""Puedes ver esta estatua en la montaña desde muchos lugares debajo de la montaña... ¡escalar y ver! ¡Aprende sobre el Pípila y cómo ayudó a Allende e Hidalgo! ¡Puedes subir las escaleras o tomar el teleférico!""",Estados Unidos,Chino,PC,23/4/2018
Femenino,50,Internacional,Muy bueno,4,586,"""Best viewed from atop!""","""You will see this statue looming over the city from several spots below....but go up and see it! Learn about Pipila and how he helped Allende and Hidalgo! You can walk up the stairs or take the funicular!""",Estados Unidos,Inglés,PC,23/4/2018
Masculino,50,Internacional,Excelente,5,543,"""The Best views!""","""Be here for the sunset, may be a little before so you can see the transition of the city. It's magical, by far the best views of the city and it's only a close tram ride from the main square.""",Filipinas,Inglés,Móvil,18/04/2018
Femenino,35,Internacional,Excelente,5,5,"""View from the top is the best"" ","""Nothing else compares to the view of Guanajuato from the top. Meet people on the balcony. Souvenirs and snacks available for purchase.""",Estados Unidos,Inglés,Móvil,16/04/2018
Masculino,62,Internacional,Muy bueno,4,509,"""Hero of the City; Great Views of Guanajuato""","""Take the funicular for a quick visit to this important monument. But, apart from the monument, the best views of the city down below. Can walk down to the city if you’d like to stroll and take in more great views.""",Estados Unidos,Inglés,Móvil,14/04/2018
Femenino,46,Internacional,Excelente,5,24,"""Para ser recorrido caminando""","""En un sólo día, se recorre caminando, los lugares históricos, los de fantasía, lo de película, solo con muchas ganas de caminar y sin gastar de más.""",Bolivia,Español,Móvil,10/4/2018
Femenino,32,Nacional,Excelente,5,2,"""Visita turística""","""Un lugar muy precioso se logra ver toda la ciudad. Muy limpio y agrable Un monumento espectacular muy grande y hecho de cantera.""",México,Español,Móvil,6/4/2018
Masculino,52,Internacional,Excelente,5,49,"""La mejor visita de Guanajuato""","""Vale mucho la pena, la vista es encantadora, te recomiendo ir justo antes de anochecer para poder disfrutar del paisaje tanto de día como de noche.""",Panamá,Español,Móvil,5/4/2018
Femenino,36,Internacional,Excelente,5,8,"""Genial""","""Puedes llegar por tour. O súbete en funicular por 25 pesos. Vista de toda la ciudad para tomar muy buenas fotos.""",Colombia,Español,Móvil,1/4/2018
Femenino,24,Internacional,Excelente,5,22,"""Hermoso""","""¡En este monumento se puede apreciar toda la cuidad! ¡Bellísimo! Nosotros compramos un guía turístico y nos explicó la historia del Pípila y porque le llaman así. México tiene mucha historia.""",Costa Rica,Español,Móvil,31/3/2018
Femenino,34,Nacional,Malo,2,31,"""Aburrido""","""Está aburrido ir, es algo que puedes ahorrarte, está bonita la vista panorámica de la ciudad pero en sí el monumento está aburrido.""",México,Español,Móvil,29/3/2018
Femenino,51,Internacional,Muy bueno,4,334,"""Nice views of the city from here""","""This was a great place to look over the entire city with a funicular to the lower zone. Lots of shopping in the area but not many restaurants.""",Canadá,Inglés,Móvil,28/3/2018
Femenino,60,Internacional,Excelente,5,153,"""Great view, from sunrise to sunset""","""I went there once for sunset, and i liked it so much than i came back at sunrise to see it under a different light. The monument itself is in the Christ Redeemer style (in my own words: tacky) but the extensive view on the town is priceless. It is particularly nice early morning, when you see the sun reflecting in the houses windows. Sunset is beautiful too. And the stairs going up there offer nice photo opportunities too.""",República Checa,Inglés,Móvil,26/03/2018
Masculino,43,Internacional,Regular,3,12,"""Buen punto de vista""","""Lo más hermoso del Pípila es el paseo en el viejo ascensor inclinado y la vista desde la plataforma. Al menos el monumento no molesta. El camino de descenso, luego las escaleras y callejones utilizados, aquí se puede ver más y termina en el Callejón del Beso.""",Alemania,Alemán,PC,25/3/2018
Femenino,32,Internacional,Excelente,5,134,"""Like climbing Mount Everest""","""A beautiful view awaits, but the hike is a little steep. There are two access points from the center, mark “Subida a San Miguel” and a cable car. The monument is imposing. The hike is not suited for small children nor if you have knee or lower extremity issues.""",Finlandia,Inglés,Móvil,25/03/2018
Femenino,44,Internacional,Excelente,5,54,"""Beautiful view over Guanajato""","""Nice steep hike up the hill which takes about 15 minutes. the reward is fabulous, a stunning view over Guanajato.""",Estados Unidos,Inglés,Móvil,25/03/2018
Masculino,27,Internacional,Muy bueno,4,81,"""Awesome city view""","""The monument is quite big; Really interesting story. But the cool stuff is actually the city view you get once you’re on the top. You can get there by using the “Funicular” which is like $25 MXN to go up and another $25 to go down.""",Chile,Inglés,Móvil,25/03/2018
Femenino,61,Internacional,Excelente,5,44,"""What a view""","""Worth the trip. We enjoyed the view. Monument was done with great detail. It is something you should experience.""",Canadá,Inglés,Móvil,24/03/2018
Masculino,67,Internacional,Muy bueno,4,51,"""Great view!""","""This is a must do when you travel to Guanajuato as you can see the entire downtown area from here. I was able to visualize things better after looking out from this viewpoint.""",Canadá,Inglés,PC,22/3/2018
Femenino,28,Internacional,Excelente,5,36,"""Gran vista""","""Merece especialmente una visita al atardecer. En el funicular también es bastante divertido y no es agotador.""",Alemania,Alemán,Móvil,21/3/2018
Masculino,38,Nacional,Excelente,5,166,"""LA MEJOR VISTA DE GUANAJUATO""","""Un lugar para apreciar durante muchos minutos la vista de esta hermosa ciudad. Sin embargo debes de tener cuidado ya que hay tumultos de gente y muchos ambulantes que te presionan para que les compres desde comida hasta tours.""",México,Español,PC,21/3/2018
Femenino,21,Nacional,Excelente,5,1,"""Excelente vista de la ciudad""","""Existen varias maneras de llegar a la cima del Pípila. La primera es caminando la cual sólo la recomiendo si tienen buena condición física y un calzado cómodo, la segunda en vehículo y la tercera con el funicular lo cual lo recomiendo ampliamente, el costo es de $25 por persona un sólo viaje.""",México,Español,PC,21/3/2018
Masculino,17,Nacional,Excelente,5,99,"""Vista imperdible""","""Tal vez la mejor vista de la ciudad. Se puede accesar a el mirador ubicado en la parte de arriba del monumento y la vista es aún mejor, aunque el espacio es reducido, sin mucha ventilación y de díficil acceso para niños o personas mayores o discapacitadas. El mirador en sí se puede accesar sin problemas.""",México,Español,PC,20/3/2018
Masculino,66,Internacional,Muy bueno,4,325,"""Like a Big Baby with a Diaper""","""Pipila is imposing for sure. Great art it is not. The main reason for trudging up the steps is for the wonderful view of the city right in front of the university, the cathedral and the Jardin de la Union. Go early to beat both the heat and the crowds, particularly on weekends.""",Estados Unidos,Inglés,Móvil,18/3/2018
Masculino,38,Internacional,Muy bueno,4,72,"""El paisaje es espectacular""","""El monumento no es muy espectacular. Pero vas allí no para ver el monumento, sino para ver el paisaje. Un gran escenario en cualquier momento del día. Si no quieres hacer mucho montañismo, te recomiendo subir al teleférico y seguir por el camino.""",Estados Unidos,Chino,PC,16/3/2018
Masculino,29,Internacional,Muy bueno,4,72,"""Spectacular view""","""The monument itself is unspectacular. But you don't really go for that. You go for the view. It is great anytime of day. Unless you want to do a fair amount of uphill walking, I would recommend taking the funicular up and then meandering your way down via the paths and neighborhood.""",Estados Unidos,Inglés,PC,16/3/2018
