Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha
Masculino,69,Internacional,Excelente,5,70,"""Beautiful location for a symphony""","""Beautiful historic theater - great place for a concert. Unfortunately street performers noise bleeds through and is very distracting.""",Estados Unidos,Inglés,Móvil,24/6/2018
Masculino,43,Nacional,Excelente,5,3,"""Wow!""","""This is the second best and nice theater in Mexico. Love this place you can take pictures Whit out a problem not like Bella's artes they charge over there is cheap to see inside this gorgeous place.""",México,Inglés,Móvil,16/6/2018
Masculino,55,Internacional,Regular,3,1016,"""Comodín""","""Para aquellos que conocen muchos países, el Teatro Juárez es más que otro teatro, bastante dudoso gusto arquitectónico y decoración. Tiene una historia interesante, pero lejos de merecer el primer lugar en Tripadvidor. Bien vale la pena la visita en el contexto de una visita al centro de Guanajuato..""",Brasil,Portugués,PC,12/6/2018
Masculino,36,Internacional,Excelente,5,227,"""Incredible detailing, amazing architecture""","""It reminded me of being in Rome, it was a gorgeous building right in the heart of Guanajuato. The statues at the top of the building were stunning and the overall appearance was simply majestic. Located around the main Jardin, it’s impossible to miss if you’re doing any sort of sightseeing in town. Very much worth a stroll and pictures.""",Estados Unidos,Inglés,Móvil,14/5/2018
Masculino,40,Internacional,Excelente,5,306,"""Imposing building from the turn of 19th century""","""This building is truly splendid, not quite, of course, as the famed Bellas Artes in Mexico City, but interesting and with great history. The pity is that almost all beautiful South American theatres rarely have more than four or five performances a month, and that even applies to Rio de Janeiro´s celebrated Teatro Municipal. An interesting piece of history was that it opened with Verdi´s Aida, only four years after the world premiere of this famous Verdi´s masterpiece...""",Estados Unidos,Inglés,PC,8/5/2018
Femenino,64,Internacional,Excelente,5,521,"""Beautiful!""","""This theater, still in use today, is an example example of Mexican theaters that you occasionally find in cultured centers built during the 1800s. This is beautifully maintained and some of the large historical signage is in English for a greater appreciation of what you’re seeing. Reasonably priced and well worth an hour!""",Estados Unidos,Inglés,Móvil,7/5/2018
Femenino,28,Internacional,Muy bueno,4,2,"""Teatro Juárez""","""This theather is the main point of the city. So I will recommend to start your tour with a visit. The price is minimal and well worth the price... Young children don’t pay entrance.""",Estados Unidos,Inglés,Móvil,23/4/2018
Masculino,50,Internacional,Excelente,5,54,"""Mexican Dance performance""","""Attended with a local friend to a dance performance of dances of young performers from different regions in Mexico. The dancers were excellent. The music and costumes were vibrant! The dancers were very professional and talented.""",Estados Unidos,Inglés,Móvil,21/4/2018
Masculino,38,Internacional,Excelente,5,119,"""Stunning!""","""This is Mexico's 3rd most beautiful theater only behind bellas artes in Mexico City and degollado un Guadalajara. You can enter the theater limited hours so check online. I personally like to see it at night but during the day is beautiful too.""",Estados Unidos,Inglés,Móvil,18/4/2018
Masculino,62,Internacional,Muy bueno,4,503,"""Beautiful Theater""","""A real treat. Throw back to a bygone era. Wooden seats. Multiple levels. Not a bad seat in the building.""",Estados Unidos,Inglés,Móvil,15/4/2018
Masculino,61,Nacional,Excelente,5,6,"""Muy pintoresco""","""Buen edificio… cuidado y mantenido, se amalgama de manera genial con la ciudad y demuestra la época del apogeo de la misma… ¡vale la pena conocerlo!""",México,Español,Móvil,9/4/2018
Femenino,33,Nacional,Excelente,5,49,"""Majestuoso""","""Sin duda alguna, un lugar que no puedes dejar de visitar, bello por fuera y por dentro es una joya de nuestro país, el costo es muy accesible, te recomiendo unirte a las explicaciones y relatos de los guías, aprenderás mucho :)""",México,Español,Móvil,5/4/2018
Femenino,41,Nacional,Excelente,5,43,"""Divino""","""Muy bien conservado vale la pena entrar a ver. El techo está increíble y en la primer planta hay un piso de cristal hermoso.""",México,Español,Móvil,29/3/2018
Femenino,35,Internacional,Excelente,5,12,"¡UN EJEMPLAR DE LA HISTORIA DE NUESTRO MEXICO!""","""Conservador, lleno de historia, y arte pinturas maravillosas y recuerdos de los personajes que se han presentado en este teatro. Cuando nosotros fuimos se presento Ofelia Medina con un monologo. MARAVILLOSA.""",Estados Unidos,Español,PC,28/3/2018
Masculino,51,Internacional,Excelente,5,5,"""The Pearl of Guanajuato""","""Such an incredible place! Very well concerved. Can enter for under 2 dollars (35 pesos) wonderful experience.""",Canadá,Inglés,PC,23/3/2018
Femenino,19,Nacional,Excelente,5,96,"""Hermoso y conservado""","""Un lugar histórico y muy bello. En ocasiones se ofrecen obras de teatro o eventos en la entrada. El acceso no es muy sencillo pero por dentro tambien es muy bello. Parte importante de el recorrido al centro de la ciudad.""",México,Español,PC,20/3/2018
Masculino,53,Internacional,Excelente,5,25,"""¡Un lugar de ensueño!""","""El teatro es un lugar maravilloso que sin duda hay que conocer. La arquitectura es hermosa. Me fascinó este lugar.""",Ecuador,Español,Móvil,11/3/2018
Masculino,34,Internacional,Excelente,5,208,"""Interior bellamente adornado y exterior tienen una gran cantidad de obras de teatro""","""Aquí es casi el final de la animada zona de Guanajuato, sino también las actividades de las zonas más animadas, el teatro en sí no es grande, pero el interior es precioso, muy bonito, muy pintoresco, y  la entrada por sólo el 35 MXN, muy, muy barato . Intensificado fuera del teatro, un lugar de encuentro público, sino que también tienen una gran cantidad de actuaciones que, si está disponible, no sólo tiene que ir a través, asegúrese de permanecer aquí por un tiempo, disfrutar del espectáculo.""",Taiwán,Chino,PC,10/3/2018
Femenino,32,Internacional,Excelente,5,22,"""Arquitectura de 1900""","""Un lugar precioso con mucha historia, muebles y diseños impresionantes... me quede con ganas de asistir a alguna presentación.""",Uruguay,Español,Móvil,10/3/2018
Masculino,45,Internacional,Excelente,5,15,"""Fantástico""","""¡Lugar maravilloso como a toda la ciudad! Parada obligatoria. Arquitectura fantástica y un lugar muy agradable.""",Portugal,Portugués,Móvil,5/3/2018
Femenino,39,Nacional,Excelente,5,191,"""Conservado""","""Es un teatro hermoso que a la par sirve de museo en el que te explican sus inicios, el porqué de las divisiones en las butacas, su construcción y el uso que se les daba a sus diferentes salones y que gracias a grandes mentes en la actualidad sigue en funcionamiento con grandes y hermosas obras, imperdible, de preferencia pregunta por el señor que te explica todo lo anterior y puedas disfrutar de su charla sentado en las butacas remontándote a esa época.""",México,Español,Móvil,4/3/2018
Femenino,35,Nacional,Excelente,5,3,"""Astonishingly Beautiful Theater""","""We had the privilege of attending the Concerto Köln at Teatro Juarez during the 2017 Cervantino. What a breathtaking venue! The theater is beautiful, and the acoustics were wonderful--the perfect place to attend a performance by such an accomplished ensemble. We also attended the Ballet Gothica a couple of weeks later which had a few rough edges, but was entirely enchanting. Once again, the theater was perfect.""",México,Inglés,PC,3/3/2018
