Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha
Femenino,33,Internacional,Excelente,5,52,"""Busy city market""","""The market under a large metal building is bustling with merchants and noise. Feel the energy of the city and smell the foods. All kinds of merchandise, foods, snacks and drinks for sale. Most merchants only speak Spanish and take cash only. Very reasonably priced!""",Estados Unidos,Inglés,Móvil,20/4/2018
Masculino,50,Internacional,Muy bueno,4,491,"""People Watching, Local Feel Among The Tourists""","""Nicely done market with lots of food stalls, produce, and meat/fish/poultry. We enjoyed (very inexpensive) food with locals. Not a place to go for high end clothing or other things, but a variety of gift items. And, fun people watching, including outside the building.""",Estados Unidos,Inglés,Móvil,15/4/2018
Femenino,24,Internacional,Excelente,5,39,"""Recuerdos son más baratos""","""El primer piso de la segunda planta, comida sencilla que están vendiendo recuerdos. Guanajuato que el precio de las cosas mucho más barato. Y mucho nahu de las figuras de cerámica para decorar la casa de Atocha. Ir a la Ciudad de México haría mothaetneunde no comprar un montón de comprar en la Ciudad de México lo hizo olgeol cuatro más. Había un pequeño cráneo visto los precios de venta se duplicó en Teotihuacan. Visita a lugares aquí y allá llegó la noche ni para comprar solicitando descender dando varias cuidado en vivo. En el primer piso de aterrizaje 15 dio lugar Carta Copa Sama pesos corte era pequeño, demasiado bueno dos veces. Enmascarado 5:00 de la mañana también estoy cerrando las tiendas de las puertas. Así que no van demasiado tarde.""",Corea del Sur,Coreano,Móvil,10/4/2018
Masculino,32,Nacional,Regular,3,19,"""Fuimos 2 veces a comer""","""Prueba las guacamayas y las comidas de la fonda en el segundo piso, los previos accesibles y sales satisfecho té queda cerca la Alhóndiga de granaditas.""",México,Español,Móvil,8/4/2018
Masculino,48,Internacional,Regular,3,94,"""Not that impressed""","""I was excited to see this marcado. But it was not that special. We ate carnitas here and they were the worst carnitas I have ever eaten--and I LOVE carnitas. There are little bar stools you sit on and watch them chop and cut up the meat. Outside there are actual sit down restaurants-we didn't see them until after eating inside.""",Estados Unidos,Inglés,PC,7/4/2018
Femenino,30,Nacional,Regular,3,49,"""Colorido""","""El mercado según me dijeron se encuentra dentro de lo que alguna vez fue una estación de tren, hermoso por fuera e interesante y pintoresco por dentro. En la primera planta encontrarás todos los puestos de comida, y en la planta de arriba se encuentran artesanías y recuerdos de todos los lugares turísticos de la ciudad. Te recomiendo las tortas de Chicarrón con aguacate que vende justo frente a la entrada del mercado ;)""",México,Español,Móvil,5/4/2018
Femenino,25,Nacional,Muy bueno,4,9,"""¡Barato!""","""Tienes que visitarlo y si quieres comprar souvenirs es aquí, lamentablemente yo me fui en tour y me llevaron a cooperativas de mineros que según más “barato” después fui al
Mercado y la misma cadena que me dieron en $50 en la cooperativa estaba en $25 en el mercado.""",México,Español,Móvil,5/4/2018
Femenino,36,Internacional,Excelente,5,92,"""Una experiencia diferente""","""Como turista es muy interesante. Muchísimos puestos y distintas opciones de artículos del recuerdo al igual que mucha comida. La higiene si deja mucho que desear y en realidad si es un tema delicado pero si se elige con precaución si pudieran ir por algo para comer. Buenos precios.""",Chile,Español,PC,4/4/2018
Femenino,51,Internacional,Muy bueno,4,315,"""Lots to choose from""","""This is a large market that covers 2 entire floors with just about anything you can imagine. There must have been over a hundred booths. It was very central in location and easily accessed.""",Canadá,Inglés,PC,1/4/2018
Masculino,31,Nacional,Muy bueno,4,175,"""Muchas opciones para comer""","""Sabias que originalmente iba a ser una estacion de tren? Por eso el diseño tan bello. Desafortunadamente esta algo descuidado y falta mas orden con los comerciantes. Hay muchos puestos de comida: tortas, comida corrida, quesadillas, jugos, etc. Y al lado hay un mercado de pura comida. Puedes comer rico a buen precio, o al menos conocer un tipico mercado mexicano.""",México,Español,Móvil,30/3/2018
Masculino,27,Internacional,Regular,3,292,"""Nothing special to buy""","""The souvenirs here are nothing special. there are much better shops in the streets if you want to buy a present.""",Estados Unidos,Inglés,Móvil,25/3/2018
Femenino,37,Internacional,Excelente,5,47,"""Charming""","""If you want to get in touch with popular culture and traditions this is a must go. You’ll see from vegetable stands to traditional clothing and souvenir stands. You can also eat a traditional meal.""",Estados Unidos,Inglés,Móvil,24/3/2018
Masculino,64,Internacional,Excelente,5,213,"""Fantastic Market""","""This is a fantastic market. To get the true old city vibe you must visit. A walk through the market is like a walk back in time. The merchants are friendly and are happy to see you.""",Canadá,Inglés,Móvil,24/3/2018
Femenino,,Nacional,Malo,2,28,"""Pintoresco pero muy mala higiene""","""Es lindo pero para un lugar con tanta historia y tantos visitantes deberían limpiarlo mas seguido, huele bastante mal pero es una estructura bastante elaborada.""",México,Español,Móvil,22/3/2018
Masculino,72,Internacional,Muy bueno,4,272,"""Great for arts and crafts and food""","""At the corner of 20 de noviembre and Jose Azuela, at the north-west corner of the Centro Historico.

This is a market of everything. You will see chickens, beef, pork, fish and all sorts of vegetables and fruits.
You will also see lots and lots of artesania.
This is the place to buy your vanilla extract. Gaya. It was recommended to me by the Owner of the Eco Park Xanath, Jose Luis. (see my review).
Gaya has been producing Vanilla here since 1873. When you enter the market, it is to your right.

This is a better market than the one called Mercado de Artesanias on Francisco I. Madero.
There are no tours but taxis in Papantla are extremely reasonable. The minimum is 18 pesos and, often, this is the price charged. For exemple, from the ADO bus station to the hotel Tajin cost me 20 pesos. Some drivers will try to charge more. Always ask the price before entering the cab.""",Canadá,Inglés,PC,21/3/2018
Femenino,29,Internacional,Regular,3,15,"""Pero demasiado condensada para ver""","""Tuve la oportunidad de ir allí la semana pasada, es de hacer, pero no es muy interesante, las tiendas son los mismos que se encuentran en el rue.Marrant de verla así, pero no más.""",Francia,Francés,PC,19/3/2018
