Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha
Masculino,59,Nacional,Excelente,5,267,"""Gran sitio histórico""","""Fue construida a finales del siglo XVIII, en el Mexico virreinal. Su función era como almacén y tienda de comercio para los habitantes que acudían del campo a comprar o de las haciendas a vender sus productos.""",México,Español,Móvil,19/6/2018
Masculino,32,Nacional,Excelente,5,61,"""Excelente museo""","""Parada obligatoria en tu visita a la ciudad de Guanajuato, lugar lleno de historia y apto para todas las edades.""",México,Español,PC,19/6/2018
Masculino,18,Nacional,Muy bueno,4,50,"""Presenciar el lugar de la tragedia""","""En este lugar se dio una de las batallas mas lamentables de la guerra de independencia. Dentro de la alhondiga se encontraban familias españolas. Las las cuales murieron cruelmente a manos de los indios a cargo de Hidalgo. El pararse frente a este imponente monumento e imaginarse los ríos de sangre de hombres y niños que tuvieron una muerte cruel es en verdad desgarrador.No vayas solamente a tomarte la foto. Observa y recrea estos hechos en tu mente para que así te des cuenta de la importancia de este lugar y porque no debe de ser olvidado. Y claro también aquí se dio la famosa historia del Pipila.""",México,Español,PC,5/6/2018
Femenino,30,Internacional,Excelente,5,69,"""EL CORAZÓN DE LA HISTORIA DE MÉXICO""","""Maravilloso sitio, muy gráfico para aprender historia super didáctico, las salas muy bellas y organizadas, el personal muy amable. Imperdible.""",Perú,Español,PC,3/6/2018
Femenino,25,Nacional,Excelente,5,22,"""Viaje diver-cultural!!""","""El término alhóndiga proviene del árabe y significa “almacén o mercado de granos"". La Alhóndiga de Granaditas es un lugar muy representativo del inicio de la lucha de Independencia, pues en este sitio tuvo lugar primera batalla insurgente y con ello el origen de la Independencia. Fue en esta batalla donde ocurrió la hazaña de Juan José de los Reyes Martínez, ""El Pípila"", un barretero de la mina de Mellado, quien a petición de Hidalgo se colocó una losa en la espalda para esquivar los ataques y consiguió hacer estallar la puerta de la Alhóndiga.""",México,Español,PC,29/5/2018
Femenino,34,Internacional,Excelente,5,6,"""Fortaleza""","""Impresiona su construcción, sus murales, hay mucha información, un gran espacio para aprender, y un espacio para honrar a nuestros héroes.""",Argentina,Español,PC,21/5/2018
Masculino,42,Nacional,Excelente,5,8,"""Pura historia""","""Me encantó el lugar. Muy bien dividido sus salas aunque, para ser francos... Esperaban un poco mas acerca del héroe que va de la mano con éste lugar, o sea, El Pipila. Muy buen museo y muy interesante. Vayan. Vale la pena.""",México,Español,Móvil,12/5/2018
Masculino,55,Internacional,Muy bueno,4,306,"""Fascinating piece of history at the start of the struggle for indpendence""","""This building is not particularly famous for its late 18th century architecture (although there are some fabulous gigantic murals up the central staircase), but is rather important for a pivotal role it played in the first successful battle by insurgents fighting for the independence from f the Kingdom of New Granada. Insurgents won a critical battles which was followed by a massacre of almost entire Spanish battalion, but the bloody war continued for 11 years until it finally ended. You are given a unique opportunity to lear about the history of Mexico, starting from artefacts form pre Hispanic period. A guided visit is warmly recommended.""",Colombia,Inglés,PC,8/5/2018
Masculino,44,Internacional,Excelente,5,8,"""One of the most important buildings in Mexico to learn about""","""Great place to learn and see local murals and art. Before going, be sure to learn about the buildings historical importance so you can get the most out of the murals.""",Canadá,Inglés,PC,30/4/2018
Femenino,31,Nacional,Excelente,5,32,"""Historias Inéditas""","""Mi visita en este increible lugar fue recorido por un guia local y dentro del museo por el personal que en esté labora, escuchar todo aquello que sucedio hace muchos años hace que al estar en ese lugar sientas como si estuvieras en esa batalla, al termino de este recorido me encanto que los niños pudieran experimentar la elaboración de manulidades de barro.""",México,Español,PC,27/4/2018
Femenino,28,Nacional,Excelente,5,9,"""¡Un museo muy bonito!""","""Me encantó porque, contrario a lo que pensé, está muy cuidado por dentro, las salas tienen un folleto en cartón grueso con la información de lo que muestran en cada una de sus salas para que nos documentemos mejor, lo tomas al entrar a cada sala y lo depositas al salir. Las salas con los bustos de los héroes están impresionantes!además de que está escrito en cristal una pequeña biografía de cada uno de ellos ¡Tres murales muy interesantes y los símbolos patrios en un salón espectacular! ¡Hay que apartarse un tiempo para recorrerlo!""",México,Español,Móvil,22/4/2018
Masculino,23,Nacional,Muy bueno,4,20,"""Estaba cerrado""","""Un lugar histórico, lamentablemente estaba cerrado, hay que fijarse en la parte alta, las 4 esquinas. Y en otras ocasiones que he entrado adentro hay cosas de Maximiliano y Carlota un escudo nacional en cantera.""",México,Español,Móvil,10/4/2018
Masculino,36,Nacional,Excelente,5,19,"""Museo hermoso""","""Un lugar que por dentro te sorprende, es costo no es gratis pero vale la pena, a mi me gustó mucho y abajo de la calle pasa el bus turístico.""",México,Español,Móvil,8/4/2018
Femenino,49,Nacional,Excelente,5,49,"""Muy interesante""","""Te recomiendo visitarla el domingo ya que la entrada es gratuita, como siempre recomiendo ampliamente escuchar las explicaciones de los guías quienes nos ayudan a comprender mejor lo que ves y lo que sucedía en aquella época.""",México,Español,Móvil,5/4/2018
Femenino,52,Internacional,Excelente,5,93,"""Historia viva""","""Por el valor histórico es algo que no se puede perder. Para turistas tanto nacionales como internacionales es un punto turistico que vale la pena visitar y apreciar.""",Colombia,Español,PC,4/4/2018
Masculino,48,Nacional,Excelente,5,38,"""Para encontrarse con la historia""","""Es un buen lugar para conocer y recordar la historia (oficial) de México, muy bien cuidado, con explicaciones detalladas de cada evento histórico, sin dudar lo volveré a visitar.""",México,Español,PC,3/4/2018
Masculino,,Nacional,Muy bueno,4,8,"""Muy buen museo""","""Muy buen lugar, con mucha historia, lástima que todo se lo lleven a la Ciudad de México, sólo que no hay tantos objetos relacionados con la independencia.""",México,Español,Móvil,2/4/2018
Femenino,33,Nacional,Excelente,5,8,"""Genial""","""Muy bueno para conocer la historia. Los domingos la entrada es sin costo. Si andas en Guanjuato. Debes de ir a conocer.""",México,Español,Móvil,1/4/2018
Femenino,41,Internacional,Muy bueno,4,64,"""Beautiful and historic""","""This place is very beautiful. Unfortunately we didn't see a guide until after we had explored the entire place for several hours but I would have preferred to learn a bit of the history. ( no explanations ) Definitely worth a visit!!""",Inglaterra,Inglés,Móvil,30/3/2018
Femenino,39,Nacional,Pésimo,1,117,"""NO LO VISITEN LOS 19 DE MARZO CERRADO""","""No es posible que el 19 de marzo lunes puente por el 21 de marzo, este cerrado, varias personas que estuvimos en este lugar como turístas, nos retiremos por estar cerrado. Avisados están, no les importa el turismo. Debería dejar una guardía.""",México,Español,Móvil,24/3/2018
Femenino,37,Internacional,Excelente,5,47,"""If you speak Spanish, listen to talk given by one of the guides""","""One of the most emblematic buildings in Mexican history. The building is majestic, the surroundings are charming and if you listen to talks you’ll learn a lot of historical and cultural facts.""",Estados Unidos,Inglés,Móvil,24/3/2018
Femenino,25,Nacional,Excelente,5,17,"""Hermoso museo""","""Me gustó mucho el lugar esta lleno de historia, lastima que no llevaba suficiente tiempo para recorrerlo con calma. Cada sala esta muy interesante.""",México,Español,PC,23/3/2018
Femenino,62,Internacional,Excelente,5,55,"""Excellent Museum""","""We were kind of concerned about going to a museum with all the exhibit info presented in Spanish, but when we purchased our tickets we were given a stack of laminated info sheets in English describing the major points of all the exhibits. The exhibits were very interesting and well presented, covering the pre-hispanic period through the fight for Mexicam independence.""",Canadá,Inglés,Móvil,22/3/2018
Masculino,37,Nacional,Muy bueno,4,159,"""REVIVE LA HISTORIA""","""Impresionante visitar la Alhóndiga y escuchar la historia en la que un minero ""el pípila"" incendió una de las puertas principales, aún se aprecian los hoyos causados por las balas de quienes atacaron este granero.""",México,Español,PC,21/3/2018
Masculino,58,Internacional,Excelente,5,238,"""Time well spent!""","""This museum is an excellent place to learn more about Mexican history and culture: pre-Columbian, the silver trial, the fight for independence (a significant battle took place at this building), and modern history.
Housed in a beautiful building with a nice courtyard, the museum offers cards with English explanations of the various rooms.
One of the showstoppers is a large mural by Chavez Morado from 1955 depicting, among other things, harm done to indigenous peoples by the colonialists. I have seen similar murals by Rivera in Mexico City - but here I was struck by how much earlier than Canadians Mexicans began to confront this aspect of their past.
We enjoyed looking at pre-Hispanic artefacts - especially a large collection of ""stamps"" used by indigenous peoples in the GTO area. Moving into the 20th century, we also enjoyed the photo portraits of local families by Romualdo Garcia. Very interesting!
Another moving area is the memorial to Hidalgo and the other fighters for independence who's heads were hung on the 4 corners of the building (after they were captured and executed by the Spanish).
I highly recommend a visit here while in Guanajuato.""",Canadá,Inglés,PC,21/3/2018
Femenino,49,Internacional,Excelente,5,11,"""MONUMENTAL""","""Grandioso lleno de historia parte fundamental de la gente de Guanajuato y de nuestro gran Mexico, puedes subir a pie o en el elevador es impresionante.""",Estados Unidos,Español,PC,19/3/2018
Masculino,34,Internacional,Excelente,5,74,"""Great Historical Museum of Guanajuato state""","""Don't miss this historical site and museum of Guanajuato. Many artifacts and pieces of artwork depicting the history of Guanajuato and the relationship to Spain. An English interpretation of the museum contents is available at the desk.""",Estados Unidos,Inglés,PC,15/3/2018
Masculino,52,Internacional,Muy bueno,4,56,"""What do the names on the corner plates mean?""","""What is a museum to the struggles for Independence in Mexico doing in the Alhóndiga de Granaditas, which was initially a grain storage facility?

In 1803, Miguel Hidalgo y Costilla took over the Parrish Church of Our Lady of Sorrows in the settlement that today bears his name Dolores Hidalgo.

On September 16th, 1810, the priest realized that the revolutionary plot had been discovered and decided to take the offence by ringing the church bell and summoning the townsfolk to action – now referred to as the Shout for Independence or “el Grito”. 

Later that month, on Sept 28 Miguel Hidalgo and Ignacio Allende would take possession of Alhóndiga de Granaditas, with the help of the celebrated local miner, called El Pipila -- Juan José de los Reyes Martínez Amaro. His image overlooks the town of Guanajuato and is also at the entrance to San Miguel de Allende.

Unfortunately, the offence that started with the Shout in Dolores Hidalgo, turned into a protracted fight that ultimately ended in Hidalgo’s own death and that of his revolutionary compatriots Juan Aldama, Ignacio Allende and José Mariano Jiménez. 

Their heads were hung in the four corners in the grain storage facility to serve as a bitter warning against civil disobedience from October 14, 1811 up till the declaration of independence from Spain in 1821.

So in case you hadn’t noticed, I am including a photo I took today of one of the corners with the Hidalgo plate and appears to correspond to the corner where Hidalgo would have been grimly exhibited.

Inside of the structure is a nice historical museum that exhibits many facets of this independence struggle, and Mexican history buffs will find it quite interesting.""",Estados Unidos,Inglés,PC,14/3/2018
Femenino,27,Nacional,Excelente,5,1,"""Mágico""","""Es un lugar para empaparte de historia realmente te remontas al pasado.... No olvides visitar al alhóndiga si visitas Guanajuato ...el museo increíble.""",México,Español,Móvil,3/3/2018
Masculino,45,Internacional,Excelente,5,2572,"""Excelente""","""Un excelente museo hoy en día, en el pasado era el lugar que, además de cuartel y prisión, lucía la cabeza de los creadores de la independencia de país.Uma pena que las fotos no están permitidos, a menos que usted paga.""",Brasil,Portugués,Móvil,1/3/2018
Masculino,40,Nacional,Muy bueno,4,54,"""Gran museo vivo del país""","""Es un lugar que huele y se respira historia desde que llegas a él y más por dentro, gran parte de la historia de independencia está aquí.""",México,Español,PC,1/3/2018
Femenino,35,Nacional,Muy bueno,4,83,"""Visita obligada a la Alhóndiga""","""Museo con actividades, muy controlado, el costo mas alto de los museos de la plaza pero muy módico (65 pesos mexicanos) más 30 pesos por uso de fotografías y otro mas si quieres tomar video.""",México,Español,PC,21/2/2018
Masculino,48,Nacional,Muy bueno,4,86,"""PUNTO HISTÓRICO""","""El museo dentro es muy interesante, la explanada es muy grande y comoda para sentarse un rato a descansar.""",México,Español,PC,21/2/2018
Femenino,36,Internacional,Muy bueno,4,56,"""Emblemático""","""Lugar emblemático y de obligada visita de la ciudad. Muy interesante para entender la historia de Guanajuato y de sus personajes.""",España,Español,Móvil,19/2/2018
Femenino,33,Internacional,Muy bueno,4,8,"""Enjoyable low key Museum""","""The museum features artifacts from varies regions in Mexico. The layout has a different content in each room. It is free to locals and for foreigners 52 pesos. I liked the content but wish the experience was more interactive.""",Estados Unidos,Inglés,Móvil,18/2/2018
Femenino,39,Internacional,Excelente,5,7,"""Very interesting historical museum""","""Just seeing the inside of the alhondiga is worth the visit but there are many rooms with interesting & different exhibits. Besides the war for independence there are pictures of after a flood and some votives and a couple of rooms with prehispanic artifacts. We appreciated learning about the history.""",Estados Unidos,Inglés,Móvil,17/2/2018
Masculino,25,Nacional,Excelente,5,65,"""Bien conservado, ""baúl"" lleno de mucha historia""","""Actualmente museo, le han dado el mantenimiento adecuado y se nota en la conservación del mismo, murales en las paredes, cada sala dedicada a una parte de la historia, tienen el servicio de lockers para dejar tus pertenencias y dar una visita ligera, tienen una librería dentro de la Alhóndiga, y la vez que fui me tocó observar una representación de la independencia.""",México,Español,Móvil,16/2/2018
Masculino,36,Internacional,Excelente,5,93,"""Best museum in Guanajuato""","""In this place you can find a very good explanation of the history of modern Mexico (+1800) Each room with comprehensive information for a self guided tour. At the beginning we doubted because we couldn’t hire a tour guide (not available any), but it wasn’t necessary.  Two great pairings on the side staircases to the second level.""",Chile,Inglés,Móvil,15/2/2018
