Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha
Femenino,44,Internacional,Muy bueno,4,4,"""Different""","""The museum is a collection of bodies that were unintentionally mummified. Though the mummies are ok, the explanation of how they died or what happened to them after is a bit creepy for smaller children. Interesting thing to do and a must in Guanajuato.""",Estados Unidos,Inglés,Móvil,23/7/2018
Masculino,61,Internacional,Muy bueno,4,294,"""Cool, if a bit creepy""","""This museum is essentially a very long display of mummies. They try to give them different angles, explaining some of the history as well as the reasons bodies end up in that state. It gets a bit repetitive after a while, but it's still a cool close look at mummies, which isn't something you see every day.""",Costa Rica,Inglés,PC,13/7/2018
Masculino,40,Internacional,Regular,3,99,"""Museo de momias secas""","""Guanajuato dijo que no había espacio para el entierro en el pueblo de la montaña, y en el pasado se decía que en lugar de enterrarlo, el cuerpo se colocaba en un túnel donde se terminaba la excavación. Fue este museo que una persona de la posteridad que vio que el cuerpo se secaba bien con un clima seco luego reunió los cuerpos. Todo está bien seco.""",Japón,Japonés,PC,28/6/2018
Femenino,35,Nacional,Muy bueno,4,45,"""Ok""","""Las Momias de Guanajuato are internationally famous. They have traveled to several museums abroad and they always come back to their home town.

Naturally preserved due to the minerals found in Guanajuato’s soil, you can see them and, while imagining their former life, I imagine my own death. 

The visit may be shocking to some, fun for others but never indifferent.""",México,Inglés,Móvil,13/6/2018
Femenino,20,Nacional,Excelente,5,8,"""Amazing""","""It is an amazing place to know the history of each mummy there, definitely tourist must visit the museum.""",México,Inglés,Móvil,11/6/2018
Masculino,45,Internacional,Regular,3,1036,"""Común""","""No salí tan impresionado como otros porque ya he visto mucha momia como en Egipto, Argentina, Bolivia, etc. En realidad no son cuerpos preparados para la preservación como en Egipto. Los cuerpos fueron preservados por el clima seco y suelo arenoso de la región. Paseo interesante, pero que no añade nada en la vida de la persona, como los museos de historia natural con animales embalsamados.""",Brasil,Portugués,PC,9/6/2018
Femenino,40,Internacional,Muy bueno,4,29,"""Wierd and Unique""","""Yes, a museum of mummies. Apparently the heat and the soil chemicals on this site frequently create mummies out of the corpses. As the grave sites are reused every 5 years, if a mummy is found and the family doesn't claim it, it becomes property of the state like a national treasure. Most of the mummies are not very ancient. Many still have their hair and burial clothes. Tours are in Spanish, so English speakers are at a disadvantage.""",Estados Unidos,Inglés,PC,1/6/2018
Masculino,49,Internacional,Regular,3,42,"""Mixed feelings on this place""","""On one hand, the 'mummies' are very interesting and warrant a visit. Some are even quite haunting. On the other hand though, it's almost a carnival atmosphere there, with mobile 'selfie frames' so you can go take a selfie with one of the corpses. I'm not that sentimental, but come on... these deserve some modicum of respect, they were once someone's loved ones. Some of the mummies have some context around them, a story to be told, but others are just lined up... it would be nice to get some sort of context around them, they all must have stories to tell.""",Estados Unidos,Inglés,PC,30/5/2018
Masculino,64,Internacional,Muy bueno,4,108,"""Novel enough to deserve a visit""","""For people comfortable seeing about 20 petrified corpses, it is worth a trip. Mexico honors its dead, and seeing dead people is emotionally different from in the US.

The bodies are petfied because of the soil. The were not wrapped up to be preserved, like Egyptian mummies.""",Estados Unidos,Inglés,Móvil,29/5/2018
Femenino,26,Nacional,Pésimo,1,7,"""Weird""","""Is not a place to celebrate death… they just show old dead bodies like a circus… not sure this is good for showing our culture…""",México,Inglés,Móvil,27/5/2018
Femenino,50,Internacional,Pésimo,1,191,"""A morally appalling place that needs to be shut down""","""I did not choose to visit this place, it was part of a 'city tour' that we innocently booked. These are not actually mummies - they are the disinterred corpses of a past cholera epidemic, the dead bodies of men, women and children who instead of being provided with a dignified burial were, as their families lacked the funds, instead dumped in a storage facility where unscrupulous employees began to display them to visitors interested in a grisly sight, for money. And no, this is not the anthropologically interesting reflection of Mexico's different attitude to death. I live in Santa Fe and am well familiar with the Day of the Dead, with candies in the shape of skulls etc. etc. This is an irreverent, horrible, and inexcusable disrespect of the dead bodies of people who obviously, based on their hideous grimaces, died in great agony and did not choose to be gaped at by idiots for all eternity. This 'museum' i.e., chamber of horrors needs to be SHUT DOWN.""",Estados Unidos,Inglés,PC,23/5/2018
Masculino,27,Internacional,Excelente,5,7,"""Interesting""","""Very interesting. Nice place to learn about the history of this mommies. Very well preserved . Definally a place to visit.""",Estados Unidos,Inglés,PC,20/5/2018
Femenino,20,Internacional,Excelente,5,2,"""Momias en silencio""","""Excelente cuidado de las momias y en museos, puedes tomar buenas fotos pero sería excelente que un guía te narrara la historia de cada momia y el proceso de momificación sin que te pidiera propina obligada como todos.""",Guatemala,Español,Móvil,17/5/2018
Masculino,50,Internacional,Regular,3,178,"""Bueno""","""Lindo paseo , una desición poco feliz es no dejar sacar fotos sin pagar. La razón es que uno llega a este lugar a través de las imágenes por lo tanto estaría bueno que dejen sacar fotos. Por lo demás el paseo no es muy largo pero tiene impacto , hay que conocerlo sin dudas.""",Argentina,Español,Móvil,14/5/2018
Masculino,20,Nacional,Regular,3,8,"""Interesante""","""Esperaba un poco más. Sin embargo, cumplió con la espectativa. ¡Un paseo de 20 minutos y listo! A seguir visitando Guanajuato.""",México,Español,Móvil,11/5/2018
Masculino,52,Internacional,Regular,3,330,"""Great as a peace of history, but not for faint hearted""","""This will always be a matter of taste: those who enjoy watching horror movies, will find plenty to admire in this huge collection of mummies, softened perhaps by the knowledge that for the ancient civilizations, death was actually an extension of life. Decided not to take any photos especially not of mummies of babies and small children. I would recommend a guided tour.""",Colombia,Inglés,PC,8/5/2018
Masculino,30,Internacional,Excelente,5,11,"""Un lugar que hay que visitar sí vas a Guanajuato""","""Es un lugar impresionante por la conservación natural de los cuerpos que permite el clima de la zona. Puede resultar un poco sobrecogedor para los niños pequeños pero ayuda a enseñarles sobre la vida y la muerte.""",Costa Rica,Español,Móvil,6/5/2018
Femenino,28,Internacional,Excelente,5,32,"""Misterio impactante""","""Uno de los principales museos en la ciudad de Guanajuato que no podrás perderte, sin duda escuchar cada una de las leyendas que ese hermoso lugar es fantástico, los precios de acceso son sumamente accesibles, vale muchísimo la pena 100% recomendable, hace algunos años tuve la oportunidad de visitarlo y la fecha han mejorado mucho sus instalaciones.""",Estados Unidos,Español,PC,5/5/2018
