Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha
Femenino,39,Internacional,Muy bueno,4,41,"""Beautiful and historic meeting place""","""A picturesque spot to relax with an ice cream and watch the residents of the city go about their day.""",Estados Unidos,Inglés,PC,22/5/2018
Masculino,28,Internacional,Excelente,5,218,"""Beautifully maintained heart of the city!""","""It was like being in a European town. When I stepped out of the cab after taking a bus from SMA to the bus station, I was completely stunned thinking did I just step into Europe? The Jardin was compact, clean, beautifully landscaped and a pleasant surprise. Lovely restaurants around it and plenty of benches and places to just sit and enjoy yourself. Must see attraction. """,Estados Unidos,Inglés,Móvil,14/5/2018
Masculino,,Internacional,Muy bueno,4,6,"""Scenic""","""Very scenic plaza with many bars/restaurants around it. A lot of street performers and merchants in this area. It is a real tourist location and well worth spending time here.""",Suecia,Inglés,PC,13/5/2018
Masculino,32,Nacional,Excelente,5,8,"""Lugar de reunión""","""Pintoresco lugar en el centro de Guanajuato. Original diseño y punto de encuentro de las Tunas, creo así se llaman. De aquí salen para las tradicionales ""callejoneadas"". No olvides comprar antojitos para pasar el rato.""",México,Español,Móvil,12/5/2018
Masculino,50,Internacional,Excelente,5,304,"""An oasis of peace and greenery in the historic centre""","""This park is situated centrally next to a temple and iconic Theatre Juarez, full of restaurants where mariachi and other musicians play at night.Cannot think of a better place to rest after a long tour.""",Colombia,Inglés,PC,8/5/2018
Femenino,,Internacional,Excelente,5,520,"""Perpetual buzz of activity!""","""No one could literally never leave this plaza and still be exposed to musicians, street theater, sights and smells and sounds of Mexican life being played out in a colorful, safe and well-maintained garden. There was a full band playing at noon on Sunday, musicians after dark wandering throughout the many restaurants and theatrics played out at the base of the teatro. What a wonderful cross section of life!""",Estados Unidos,Inglés,Móvil,7/5/2018
Femenino,63,Internacional,Excelente,5,59,"""Lush, shady, clean, gorgeous""","""Perfectly landscaped with plenty of benches, so a great place to go any time of day. With the sidewalk cafes all around and antique streetlamps, it felt a lot like Europe. The perimeter walkways are paved in marble! In the evenings, university music students in historic costumes give guided tours (for a fee) to raise money for their program. We got lucky and listened to a group of them perform. I would say this was my favorite memory of Guanajuato.""",Estados Unidos,Inglés,PC,29/4/2018
Femenino,30,Nacional,Excelente,5,32,"""Hermoso e inusual""","""i visita fue en dos horarios al dia dejando siempre ganas de regreser nuevamente, ya que a su alrededor encontraras restaurantes o lugares para consumir algo, por la noche es un lugar muy romantico y divertido.""",México,Español,PC,27/4/2018
Femenino,45,Internacional,Excelente,5,9,"""Clean and relaxing""","""A small park right across Hotel Posada Santa Fe. Its pretty, clean and gives you that relaxing feel.""",Estados Unidos,Inglés,PC,26/4/2018
Femenino,37,Internacional,Regular,3,109,"""Un buen lugar para vacaciones lugareños""","""Sentirse como una plaza pública vacacional, indicado para las personas mayores, niños, amigos o familiares para caminar, la poda de árboles muy suave, me siento un poco de sentido demasiado artificial de las modificaciones, un poco de piedad, pero todavía hay la oportunidad de experimentar mexicana estilo de vacaciones.""",Taiwán,Chino,PC,21/4/2018
